Category - this is a dummy column;Filename;calibration;Charge;Live time (%);current (nA);CaK;TiK;MnK;FeK;NiK;CuK;BrK;AgK;AuL;HgL;PbL;BiL
This is a dummy line;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2;16out001.spe;cal1.txt;20;0.683;15;0;0;0;0;0;6.4131;0;102.0663;1.1361;0;0.5273;0
2;16out002.spe;cal1.txt;20;0.683;15;0;0;0;0;0;6.2072;0;105.7881;1.1763;0;0.486;0
2;16out003.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.5626;0;116.2076;0.7322;0.3687;0.3416;0.005539
2;16out004.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.2452;0;118.9985;0.7223;0.3455;0.3004;0
2;16out005.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.3729;0;86.5069;0.5216;0.07035;0.1107;0.005084
2;16out006.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.6537;0;95.5906;0.7204;0.1332;0.181;0.007475
2;16out007.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.0784;0;90.8175;0.4306;0.02405;0.2333;0.00413
2;16out008.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.9475;0;85.0932;0.3644;0.02456;0.2061;0.005467
2;16out009.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.0938;0;95.2085;0.6659;0.1349;0.1645;0
2;16out010.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.702;0;95.583;0.726;0.115;0.106;0
0;16out011.spe;cal1.txt;20;0.683;15;0;0;0;0;0;7.9689;0;23.2828;0.1965;0.008897;0.1246;0.006704
0;16out012.spe;cal1.txt;20;0.683;15;0;0;0;0;0;11.3293;0;42.2267;0.4141;0.007643;0.2051;0.006558
2;16out013.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.4641;0;103.4588;0.6459;0.356;0.2708;0.003462
2;16out014.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.1469;0;108.4385;0.7367;0.4055;0.2181;0
2;16out015.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.3995;0;97.6072;1.0178;0;0.4411;0
2;16out016.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.9557;0;85.7277;0.894;0;0.4201;0
2;16out020.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.2035;0;100.6598;0.5885;0.03003;0.5419;0.0286
2;16out021.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.8143;0;105.2257;0.6377;0.02386;0.6501;0.0346
2;16out022.spe;cal1.txt;20;0.683;15;0;0;0;0;0;0.995;0;101.2402;0.7849;0.03902;0.306;0.02134
2;16out023.spe;cal1.txt;20;0.683;15;0;0;0;0;0;0.8521;0;100.4067;1.0373;0.03882;0.2114;0.02016
2;16out024.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.2813;0;108.693;0.7636;0.03716;0.323;0.005448
2;16out025.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.912;0;91.0435;0.5946;0.03259;0.2625;0.007024
2;16out026.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.308;0;108.9009;0.731;0.0255;1.0879;0.02182
2;16out027.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.6396;0;105.7121;0.7476;0.0307;1.0508;0.02022
2;16out028.spe;cal1.txt;20;0.683;15;0;0;0;0;0;4.9285;0;104.1706;0.836;0.02988;0.4217;0.0137
2;16out029.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.4519;0;95.6576;0.708;0.02632;0.4024;0.01343
2;16out030.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.0581;0;111.3807;0.894;0.04672;0.5047;0.0142
2;16out031.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.9833;0;108.5407;0.848;0.03292;0.763;0.02177
2;16out032.spe;cal1.txt;20;0.683;15;0;0;0;0;0;1.8693;0;113.1245;0.4683;0.01755;0.221;0.03754
2;16out033.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.6575;0;114.3819;0.4202;0.02233;0.3038;0.05159
2;16out035.spe;cal1.txt;20;0.683;15;0;0;0;0;0;6.3267;0;97.2051;0.5339;0.02391;0.1454;0.01457
2;16out036.spe;cal1.txt;20;0.683;15;0;0;0;0;0;5.8654;0;98.3214;0.4676;0.01543;0.1906;0.01785
2;16out037.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.4258;0;96.2434;0.3799;0.05545;0.249;0.02607
2;16out038.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.5192;0;99.7624;0.3955;0.05949;0.2303;0.02924
2;16out039.spe;cal1.txt;20;0.683;15;0;0;0;0;0;2.8284;0;109.5813;0.09642;0.03127;0.1047;0.05672
2;16out040.spe;cal1.txt;20;0.683;15;0;0;0;0;0;3.1762;0;107.1172;0.09298;0.02952;0.1115;0.06774
